,ZS_name,name,formatted_address,location,rating,user_ratings_total,formatted_phone_number
1112,Restaurace a obchod se zdravou výživou - Maranatha,"420, 331 296","420, 331 296, Krauzovna, 277 41 Kly, Czechia","{'lat': 50.3105574, 'lng': 14.5177591}",,,
1113,Restaurace a penzion U Labutě,Restaurace a penzion U Labutě,"3, Thomayerova 751, 140 00 Praha 4-Krč, Czechia","{'lat': 50.0333048, 'lng': 14.4560213}",4.4,1374.0,225 986 030
1114,RESTAURACE A PIVNICE BEOGRAD,,,,,,
1115,RESTAURACE A PIVNICE SLUNEČNICE,,,,,,
1116,RESTAURACE A PIVOTÉKA - PIVOVARSKÝ KLUB,Brewery club Benedict,"Křižíkova 272/17, Karlín, 186 00 Praha-Praha 8, Czechia","{'lat': 50.0905829, 'lng': 14.4415166}",4.5,2666.0,222 315 777
1117,Restaurace a Pivovar Marina,Pivovar Marina,"Jankovcova 1059, 170 00 Praha 7-Holešovice, Czechia","{'lat': 50.1060579, 'lng': 14.4565387}",3.8,1173.0,607 453 036
1118,RESTAURACE A PIZZERIA DEL CORSO,233 420,"233 420, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
1119,Restaurace a sklepní hospůdka Jiný Stav,,,,,,
1120,Restaurace a Vinárna U Šebestiána,Restaurace U Šebestiána,"Kolbenova 760/10, 190 00 Praha 9-Vysočany, Czechia","{'lat': 50.11082589999999, 'lng': 14.5051889}",4.2,534.0,283 891 391
1121,RESTAURACE ABC,Restaurace ABC,"Za Mlýnem 1774/12, 147 00 Praha 4-Braník, Czechia","{'lat': 50.033578, 'lng': 14.423453}",4.3,482.0,244 462 745
1122,RESTAURACE ADMIRA,,,,,,
1123,RESTAURACE ALTÁN,,,,,,
1124,RESTAURACE ALTÁN,608 505,"608 505, 250 70 Postřižín, Czechia","{'lat': 50.2277496, 'lng': 14.3979093}",,,
1125,Restaurace Altány Kampa,Restaurace Altány Kampa,"Nosticova 465/2a, Malá Strana, 118 00 Praha-Praha 1, Czechia","{'lat': 50.0842059, 'lng': 14.4070906}",4.3,493.0,257 007 681
1126,Restaurace Ambrozie,,,,,,
1127,RESTAURACE AMICI MICI,,,,,,
1128,Restaurace Apetit,Restaurace Apetit,"23, Dlouhá 736, 110 00 Praha 1-Staré Město, Czechia","{'lat': 50.0903252, 'lng': 14.4245229}",4.2,562.0,222 329 853
1129,Restaurace APETIT -  Tipsport Aréna Praha,,,,,,
1130,Restaurace Argenta - Markéta Koštová,Restaurace Argenta - Markéta Koštová,"20, Ústřední 27, 102 00 Praha-Štěrboholy, Czechia","{'lat': 50.0717563, 'lng': 14.5510435}",4.0,1.0,734 618 283
1131,RESTAURACE ARCHA,,,,,,
1132,RESTAURACE AROK,,,,,,
1133,RESTAURACE AROK-Rotšeidlová Ladislava,Bulka Burger Bar,"Bořivojova 1102/43, 130 00 Praha 3-Žižkov, Czechia","{'lat': 50.0827833, 'lng': 14.4532323}",4.9,155.0,222 722 959
1134,RESTAURACE AUSTRIA,,,,,,
1135,Restaurace Baba Jaga,,,,,,
1136,Restaurace Balaráma,Salve Natura,"Orlická, 130 00 Praha 3-Vinohrady, Czechia","{'lat': 50.078306, 'lng': 14.4553733}",,,222 947 365
1137,Restaurace Balbínka Naproti,,,,,,
1138,RESTAURACE BALKÁN,,,,,,
1139,Restaurace Barabizna,Barabizna Restaurant - Café,"Pod Špitálem 363/363, 156 00 Hl.m. Praha-Praha 5 - Zbraslav, Czechia","{'lat': 49.9785593, 'lng': 14.3949891}",4.7,3850.0,257 921 362
1140,Restaurace Baterka - Bílkova,,,,,,
1141,Restaurace Baterka - Dělnická,Restaurant Baterka,"Dělnická 71, 170 00 Praha 7-Holešovice, Czechia","{'lat': 50.1034973, 'lng': 14.4556688}",4.1,773.0,266 711 185
1142,RESTAURACE BELLA NAPOLI,,,,,,
1143,RESTAURACE BERENIKA,238 420,"238 420, 273 01 Kamenné Žehrovice, Czechia","{'lat': 50.1281358, 'lng': 14.0321967}",,,
1144,RESTAURACE BERENIKA,,,,,,
1145,Restaurace Bílá Vrána,,,,,,
1146,RESTAURACE BLATNICE,Restaurace Blatnice,"Michalská 511/8, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.084831, 'lng': 14.420086}",4.2,1399.0,224 225 836
1147,Restaurace bobová dráha Praha,,,,,,
1148,RESTAURACE BOHÉMA,,,,,,
1149,Restaurace Botanic,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
1150,RESTAURACE BRUSKA,,,,,,
1151,Restaurace Caesar,,,,,,
1152,Restaurace Café Útes,Café Útes,"Račiněveská 190, 190 16 Praha 21, Czechia","{'lat': 50.0778781, 'lng': 14.6500343}",4.5,262.0,722 925 830
1153,RESTAURACE CARPE DIEM,,,,,,
1154,Restaurace Cihelna Smíchov,,,,,,
1155,Restaurace Císařská zahrada,Císařská zahrada,"U Uranie 20/1475, 170 00 Praha 7-Holešovice, Czechia","{'lat': 50.10763989999999, 'lng': 14.4504082}",3.9,222.0,272 730 998
1156,RESTAURACE COHIBA,,,,,,
1157,Restaurace Columna,Restaurace Columna,"Pyšelská 2361/4, 149 00 Praha 11-Chodov, Czechia","{'lat': 50.0397273, 'lng': 14.4996494}",4.4,295.0,272 192 458
1158,RESTAURACE CORLEONE,Pizzeria Ristorante Corleone,"Na Bělidle 65/42, 150 00 Praha 5-Smíchov, Czechia","{'lat': 50.07161, 'lng': 14.404534}",4.2,2558.0,251 511 244
1159,RESTAURACE ČD,Restaurace Na Nádraží,"5, Vrážská 43, 153 00 Praha 16, Czechia","{'lat': 49.986026, 'lng': 14.3648172}",3.9,46.0,257 910 396
1160,Restaurace Černý kohout,608 420,"608 420, 250 70 Odolena Voda, Czechia","{'lat': 50.2277496, 'lng': 14.3979093}",,,
1161,RESTAURACE ČERNÝ OREL,Pivo & Basilico Caffe Restaurant,"Zámecká 203/2, Malá Strana, 118 00 Praha-Praha 1, Czechia","{'lat': 50.0887859, 'lng': 14.4021248}",4.6,928.0,257 533 207
1162,RESTAURACE ČERVENÁ CIBULE,Červená cibule,"Jihlavská 509/48, 140 00 Praha 4-Michle, Czechia","{'lat': 50.0442451, 'lng': 14.4575989}",4.1,799.0,261 262 026
1163,Restaurace Červený trpaslík,The Red Dwarf,"Gutova 1240/17, Strašnice, 100 00 Praha-Praha 10, Czechia","{'lat': 50.07023590000001, 'lng': 14.4882716}",4.1,399.0,274 783 627
1164,Restaurace Český Banát,,,,,,
1165,RESTAURACE ČESKÝ LEV,,,,,,
1166,Restaurace Český ráj,,,,,,
1167,Restaurace Deco,"Chorvatská rybí restaurace ""DECO""","15, Komořanská 101, 143 00 Praha 4-Modřany, Czechia","{'lat': 50.00298309999999, 'lng': 14.4052887}",4.7,606.0,244 464 217
1168,Restaurace Dejvická Sokolovna,Dejvická Sokolovna,"Dejvická 181/2, 160 00 Praha 6-Dejvice, Czechia","{'lat': 50.0980942, 'lng': 14.4047962}",4.3,820.0,222 931 993
1169,Restaurace Dobrá karma - CIMERIES s.r.o.,,,,,,
1170,RESTAURACE DOMENIKA SV,233,"233, Czechia","{'lat': 49.7914571, 'lng': 13.4908672}",,,
1171,RESTAURACE DON GIOVANNI,,,,,,
1172,RESTAURACE DONATA - HOTEL JUNO,,,,,,
1173,Restaurace Dřevák,608 420,"608 420, 250 70 Odolena Voda, Czechia","{'lat': 50.2277496, 'lng': 14.3979093}",,,
1174,Restaurace El Asador,EL ASADOR Argentinská restaurace,"Osvětová 991, 149 00 Praha-Šeberov, Czechia","{'lat': 49.99672940000001, 'lng': 14.5166171}",4.6,1041.0,607 991 091
1175,RESTAURACE EL CENTRO,El Centro,"Maltézské nám. 293/9, Malá Strana, 118 00 Praha-Praha 1, Czechia","{'lat': 50.08649370000001, 'lng': 14.4049472}",4.2,484.0,257 533 343
1176,RESTAURACE ERT RAJ POKROK,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
1177,RESTAURACE FANTAZIE,,,,,,
1178,Restaurace GOLDEN LOTUS,Cínská restaurace,"23, Jugoslávských partyzánů 1603, Dejvice, 160 00 Praha-Praha 6, Czechia","{'lat': 50.10759199999999, 'lng': 14.3942188}",4.2,224.0,220 516 976
1179,Restaurace Govinda,,,,,,
1180,RESTAURACE GROTTA,,,,,,
1181,RESTAURACE GULLIVVER,Gulliver,"Slovinská 764/13, Vršovice, 101 00 Praha-Praha 10, Czechia","{'lat': 50.0699954, 'lng': 14.4583619}",4.3,370.0,271 741 246
1182,Restaurace Guston,Guston,"Prokopovo nám. 3, 183 00 Praha 3-Žižkov, Czechia","{'lat': 50.086769, 'lng': 14.4524383}",4.5,857.0,774 744 407
1183,RESTAURACE HAJNOVKA,,,,,,
1184,Restaurace Hamburg,,,,,,
1185,Restaurace HAMBURK,Jiří Müller,"55, Sokolovská 81, 186 00 Praha 8-Karlín, Czechia","{'lat': 50.0931477, 'lng': 14.4468324}",,,222 326 129
1186,Restaurace Harmony - Hostivař,Restaurace Harmony,"Plukovníka Mráze 1182/24, 102 00 Praha 15, Czechia","{'lat': 50.050435, 'lng': 14.5437516}",4.2,506.0,776 667 035
1187,RESTAURACE Hells Bells,,,,,,
1188,Restaurace Hlubina,Marcel Šíma,"37, Lidická 311, Anděl, 150 00 Praha-Praha 5, Czechia","{'lat': 50.0720895, 'lng': 14.4052691}",,,257 328 184
1189,RESTAURACE HOMBRE DEL MUNDO,Kolanda Jaroslav,"21, Nádražní 29, Anděl, 150 00 Praha-Praha 5, Czechia","{'lat': 50.0702905, 'lng': 14.4049211}",,,257 326 902
1190,RESTAURACE HOT,240,"240, Czechia","{'lat': 50.1742573, 'lng': 14.3181313}",,,
1191,Restaurace HROM DO POLICE,,,,,,
1192,Restaurace Husinec,,,,,,
1193,Restaurace Chapadlo,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
1194,RESTAURACE CHLÁDEK,,,,,,
1195,RESTAURACE CHMELNICE,,,,,,
1196,RESTAURACE CHVALSKÁ TVRZ,restaurace Sezóna,"Na Chvalské tvrzi 11, 193 00 Praha 20, Czechia","{'lat': 50.1112599, 'lng': 14.5960113}",4.4,288.0,281 020 307
1197,Restaurace Indian By Nature - Dejvice,,,,,,
1198,Restaurace Indian By Nature - Karlín,,,,,,
1199,Restaurace Indian Jewel,"Matadi, S.r.o.","6, Týn 642, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.08790459999999, 'lng': 14.4238438}",,,222 310 156
1200,Restaurace INSPIRACE,242,"242, Czechia","{'lat': 50.1434261, 'lng': 14.3965365}",,,
1201,RESTAURACE JAKODOMA,,,,,,
1202,RESTAURACE JÁMA,,,,,,
1203,Restaurace Jarmark Černý Most,,,,,,
1204,RESTAURACE JELÍNKOVA PLZEŇSKÁ PIVNICE,Miroslav Matěna,"1, Charvátova 33, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0816721, 'lng': 14.4221297}",,,224 948 486
1205,RESTAURACE JIZERA,,,,,,
1206,RESTAURACE JOSEFÍNA,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
1207,Restaurace K-CLUB,Restaurace K-club,"391, V Jehličině 391, 190 14 Praha-Klánovice, Czechia","{'lat': 50.0979163, 'lng': 14.686327}",4.9,26.0,281 963 120
1208,Restaurace Kamenný stůl,,,,,,
1209,Restaurace Kampárium,,,,,,
1210,Restaurace Karlínský mlýn,Restaurace Karlínský mlýn,"67, Sokolovská 1, Karlín, 186 00 Praha-Praha 8, Czechia","{'lat': 50.0935182, 'lng': 14.4484203}",4.3,926.0,252 545 958
1211,RESTAURACE KARLŮV SKLEP,Restaurace Karlův sklep,"18, Karlovo nám. 287, Nové Město, 120 00 Praha-Praha 2, Czechia","{'lat': 50.07754019999999, 'lng': 14.418956}",4.3,682.0,224 923 960
1212,RESTAURACE KASTA,,,,,,
1213,Restaurace Kaštan,Restaurace Kaštan,"V Kruhu 220/2, 160 00 Praha 6, Czechia","{'lat': 50.09891589999999, 'lng': 14.3452911}",4.5,1110.0,235 300 080
1214,Restaurace Katakomby - BLUE FISH s.r.o.,,,,,,
1215,RESTAURACE KLÁŠTERNÍ ŠENK,Klášterní šenk,"28, Markétská 1, 169 00 Praha-Praha 6, Czechia","{'lat': 50.0839691, 'lng': 14.3566706}",4.5,1770.0,220 406 294
1216,restaurace Klid po práci,Restaurant Klid po práci,"Sokolovská 198/207, 190 00 Praha 9-Vysočany, Czechia","{'lat': 50.10981229999999, 'lng': 14.4970782}",4.1,417.0,283 891 574
1217,RESTAURACE KLUB SANTOŠKA,Restaurace Klub Santoška,"18, U Nikolajky 2105, 150 00 Praha 5, Czechia","{'lat': 50.0672073, 'lng': 14.3977816}",4.4,187.0,251 560 045
1218,Restaurace KLUB ŠKOLKA,Restaurace u Krčáku,"Hrabákova 2001/21, 148 00 Praha 11-Chodov, Czechia","{'lat': 50.0297034, 'lng': 14.4828484}",3.8,578.0,736 228 433
1219,Restaurace Kobyla,,,,,,
1220,Restaurace Kočár z Vídně,Kočár z Vídně,"3, Saská 520, 118 00 Praha 1-Malá Strana, Czechia","{'lat': 50.0868602, 'lng': 14.4073368}",4.1,416.0,777 043 793
1221,RESTAURACE KOLKOVNA-CELNICE,240,"240, Czechia","{'lat': 50.1742573, 'lng': 14.3181313}",,,
1222,Restaurace KOPYTO,Pizzeria Bonaccia Žižkov,"Bořivojova 883/116, 130 00 Praha 3-Žižkov, Czechia","{'lat': 50.0823343, 'lng': 14.44519}",4.6,1314.0,774 666 604
1223,RESTAURACE KOSMOS,,,,,,
1224,RESTAURACE KOTELNA,Kotelna,"4, Jiříčkové 3269, 106 00 Praha 10-Záběhlice, Czechia","{'lat': 50.0535085, 'lng': 14.505017}",4.2,508.0,272 659 683
1225,Restaurace Kozička - White Company s.r.o.,Kozička,"Kozí 918/1, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0898398, 'lng': 14.4223931}",4.0,687.0,224 818 308
1226,Restaurace Kozlova almara,Kozlovna Almara,"Klapkova 314/80, 182 00 Praha 8, Czechia","{'lat': 50.12938620000001, 'lng': 14.4554228}",4.4,765.0,284 683 781
1227,Restaurace Kozlovna,,,,,,
1228,RESTAURACE KRÁLOVSTVÍ,Království,"Kubelíkova 1215/36, 130 00 Praha 3-Žižkov, Czechia","{'lat': 50.082184, 'lng': 14.451214}",4.5,245.0,222 716 288
1229,Restaurace Krásná Praha,,,,,,
1230,Restaurace Kravín,,,,,,
1231,RESTAURACE KRMELEC,,,,,,
1232,Restaurace Krokodýl,Restaurace Krokodýl,"Lomecká 1807, 190 16 Praha-Praha 21, Czechia","{'lat': 50.0724125, 'lng': 14.6704903}",4.7,338.0,775 248 650
1233,RESTAURACE KULAŤÁK,Restaurant Kulaťák,"Vítězné nám. 820/12, 160 00 Praha 6-Bubeneč, Czechia","{'lat': 50.1004842, 'lng': 14.3971436}",4.3,3593.0,773 973 037
1234,RESTAURACE KUŘE V HODINKÁCH,,,,,,
1235,RESTAURACE KVĚTEN,,,,,,
1236,RESTAURACE LA BOTTE,,,,,,
1237,RESTAURACE LABE,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
1238,RESTAURACE LADRONKA,Restaurace Ladronka,"208, Plzeňská 2575, 150 00 Praha 5, Czechia","{'lat': 50.0700844, 'lng': 14.36817}",4.0,634.0,257 211 344
1239,Restaurace Lan,"Виетнамски ресторант ""Орхидея""","Náměstí Míru 1220/3, 120 00 Praha 2-Vinohrady, Czechia","{'lat': 50.0761111, 'lng': 14.4355556}",4.2,296.0,728 686 124
1240,RESTAURACE LE BISTROT DE MARLENE - VILLA GOURMANDE,233 320,"233 320, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
1241,Restaurace Léta Páně,Restaurace Léta Páně,"Nár. hrdinů 3, 190 12 Praha-Dolní Počernice, Czechia","{'lat': 50.0885151, 'lng': 14.5776874}",4.0,1629.0,774 008 556
1242,RESTAURACE LETEM SVĚTEM,,,,,,
1243,RESTAURACE LOCUSTA,608 420,"608 420, 250 70 Odolena Voda, Czechia","{'lat': 50.2277496, 'lng': 14.3979093}",,,
1244,RESTAURACE LODĚNICE - SPORTOVNÍ AREÁL,,,,,,
1245,Restaurace Lokáda,Club Hotel Praha,"12, Ječná 509, Nové Město, 120 00 Praha-Praha 2, Czechia","{'lat': 50.0754457, 'lng': 14.4231954}",3.0,68.0,220 516 003
1246,Restaurace LoVeg,,,,,,
1247,RESTAURACE LUCKY,,,,,,
1248,Restaurace Lucky Luciano,,,,,,
1249,RESTAURACE MAJÁK,Chrpa Palimex,"1, Krejnická 2021, Chodov, 148 00 Praha-Praha 11, Czechia","{'lat': 50.0331098, 'lng': 14.482336}",3.7,3.0,272 927 332
1250,Restaurace Malé Divy,Restaurant GARAM,"Janovského 963/3, 170 00 Praha 7-Holešovice, Czechia","{'lat': 50.0981992, 'lng': 14.4341844}",4.4,164.0,739 289 963
1251,Restaurace Mama Lucy,"420, 605 253","420, 605 253, 252 16 Nučice, Czechia","{'lat': 50.0090741, 'lng': 14.1954979}",,,
1252,RESTAURACE MARNÁ SNAHA,,,,,,
1253,Restaurace MASALA - Letná,233 312,"233 312, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
1254,Restaurace MASALA - Mánesova,,,,,,
1255,Restaurace Mattes,MATTES RESTAURACE,"9, Na Strži 1837, 140 00 Praha 4-Krč, Czechia","{'lat': 50.04139079999999, 'lng': 14.4380526}",4.4,926.0,604 116 180
1256,Restaurace Meat & Greet burgerhouse,,,,,,
1257,RESTAURACE MERCEDES,,,,,,
1258,RESTAURACE MERKUR,,,,,,
1259,RESTAURACE MICHAL,,,,,,
1260,Restaurace Michelský Dvůr,,,,,,
1261,RESTAURACE MINIGOLF,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
1262,Restaurace Mlejnice - Kožná,Restaurace Mlejnice,"14, Kožná 488, 110 00 Praha 1-Staré Město, Czechia","{'lat': 50.0864257, 'lng': 14.4215462}",4.1,2443.0,224 228 635
1263,Restaurace Mlejnice - Žatecká,,,,,,
1264,Restaurace Mona Lisa - MULDER s.r.o.,Restaurace Mona Lisa,"32, Opletalova 1567, 110 00 Praha 1-Nové Město, Czechia","{'lat': 50.0825, 'lng': 14.4316667}",3.8,630.0,607 267 203
1265,RESTAURACE MONEY MURPHYAS,,,,,,
1266,RESTAURACE MONTFORT A PIVNICE U RADEGASTA,606,"606, Czechia","{'lat': 50.0811842, 'lng': 14.2568543}",,,
1267,RESTAURACE MORAVA,Restaurace Morava,"10, Krásova 704, Žižkov, 130 00 Praha-Praha 3, Czechia","{'lat': 50.08281179999999, 'lng': 14.4475487}",4.5,374.0,222 718 061
1268,Restaurace Motoburger,,,,,,
1269,RESTAURACE MUCHA,,,,,,
1270,Restaurace na Blatově,,,,,,
1271,RESTAURACE NA DOLEJŠÍ,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
1272,RESTAURACE NA FARKÁNĚ - fa KOUBEK,Restaurace Na Farkáně,"Na Farkáně III 32/194, 150 00 Praha-Praha 5, Czechia","{'lat': 50.0600237, 'lng': 14.3806024}",4.3,506.0,257 220 253
1273,RESTAURACE NA FARKÁNĚ - fa KOUBEK,Restaurace Na Farkáně,"Na Farkáně III 32/194, 150 00 Praha-Praha 5, Czechia","{'lat': 50.0600237, 'lng': 14.3806024}",4.3,506.0,257 220 253
1274,RESTAURACE NA FARMĚ,Na Farmě,"Kamýcká 1077/129, 165 21 Praha 6, Czechia","{'lat': 50.13087079999999, 'lng': 14.37509}",3.6,413.0,224 383 390
1275,Restaurace Na Grilu,,,,,,
1276,Restaurace Na Hrádku,Restaurace Na Hrádku,"Šlikova 402/15, 169 00 Praha 6-Břevnov, Czechia","{'lat': 50.0836192, 'lng': 14.3777712}",4.2,331.0,252 545 294
1277,Restaurace Na hřišti,,,,,,
1278,RESTAURACE NA CHLUMECKÉ,Pilsner Urquell,"17, Křemencova 1738, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0793909, 'lng': 14.4166861}",4.2,13.0,224 930 768
1279,RESTAURACE NA CHLUMECKÉ,,,,,,
1280,RESTAURACE NA JEZERCE,,,,,,
1281,RESTAURACE NA KLÁROVĚ,,,,,,
1282,RESTAURACE NA KLIKOVCE,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
1283,RESTAURACE NA KLIKOVCE,Restaurant Na Klikovce,"9, Na Klikovce 1008, 140 00 Praha 4-Nusle, Czechia","{'lat': 50.0577778, 'lng': 14.4302778}",3.7,274.0,222 242 909
1284,RESTAURACE NA KLIKOVCE,Restaurant Na Klikovce,"9, Na Klikovce 1008, 140 00 Praha 4-Nusle, Czechia","{'lat': 50.0577778, 'lng': 14.4302778}",3.7,274.0,222 242 909
1285,Restaurace Na Kopečku,Restaurace Na Kopečku,"1, Pelhřimovská 1021, 140 00 Praha 4, Czechia","{'lat': 50.0431562, 'lng': 14.454206}",4.0,1433.0,244 401 455
1286,RESTAURACE NA KOVÁRNĚ,,,,,,
1287,Restaurace Na Krásné Vyhlídce,,,,,,
1288,RESTAURACE NA LEDÁRNÁCH,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
1289,Restaurace Na Marjánce,,,,,,
1290,RESTAURACE NA MĚLNICKÉ,,,,,,
1291,Restaurace na Mělníku,233 378,"233 378, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
1292,RESTAURACE NA MICHELSKÉ s.r.o.,611,"611, Czechia","{'lat': 50.1396579, 'lng': 14.8811252}",,,
1293,RESTAURACE NA PALIÁRCE,233 420,"233 420, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
1294,RESTAURACE NA PANKRÁCI,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
1295,Restaurace Na Pasece,Restaurace Na Pasece,"Rumunská 32, 120 00 Praha 2-Vinohrady, Czechia","{'lat': 50.0742328, 'lng': 14.4348314}",4.1,732.0,222 518 254
1296,Restaurace Na Pláni,,,,,,
1297,RESTAURACE NA PRŮHONĚ,,,,,,
1298,RESTAURACE NA ROZHRANÍ,Restaurace Na Rozhraní,"7, Srbská 286, 160 00 Praha 6-Dejvice, Czechia","{'lat': 50.0991592, 'lng': 14.4051069}",4.6,494.0,224 323 876
1299,Restaurace na Rybárně,,,,,,
1300,Restaurace Na Rychtě,,,,,,
1301,RESTAURACE NA RYCHTĚ,,,,,,
1302,RESTAURACE NA SKŘIVANCE,Tankovna Na Skřivance,"Na Skřivance 8, 405 02 Děčín, Czechia","{'lat': 50.7769917, 'lng': 14.2014157}",4.5,750.0,412 511 601
1303,Restaurace Na slamníku,Hostinec Na Slamníku,"Wolkerova 12, 160 00 Praha 6-Bubeneč, Czechia","{'lat': 50.1036757, 'lng': 14.4085319}",4.5,1563.0,233 322 594
1304,RESTAURACE NA STARÉ FAŘE,233 313,"233 313, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
1305,Restaurace Na střídačce,Gastro poradenství,"Štětínská 353/37, 181 00 Praha 8-Bohnice, Czechia","{'lat': 50.1302812, 'lng': 14.4282923}",,,736 641 566
1306,RESTAURACE NA TETÍNĚ,,,,,,
1307,RESTAURACE NA TETÍNĚ,Restaurace Na Tetíně,"Nuselská 61, 140 00 Praha 4-Nusle, Czechia","{'lat': 50.06063200000001, 'lng': 14.449226}",4.1,419.0,261 212 793
1308,RESTAURACE NA TOČNĚ,,,,,,
1309,RESTAURACE NA TÝ LOUCE ZELENÝ,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
1310,RESTAURACE NA VALENTINCE,,,,,,
1311,Restaurace na Verandě,608 420,"608 420, 250 70 Odolena Voda, Czechia","{'lat': 50.2277496, 'lng': 14.3979093}",,,
1312,RESTAURACE NA ZÁMYŠLI,Restaurace Na Zámyšli,"1, Na Zámyšli 501, 150 00 Praha 5-Košíře, Czechia","{'lat': 50.06939429999999, 'lng': 14.3740256}",4.2,77.0,257 211 437
1313,RESTAURACE NA ZELENÉ LIŠCE,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
1314,Restaurace Na Zlaté vyhlídce,,,,,,
1315,RESTAURACE NA ZTRACENÉ,,,,,,
1316,RESTAURACE NA ZTRACENÉ VARTĚ,,,,,,
1317,RESTAURACE NAD KOSTELEM,,,,,,
1318,RESTAURACE NAD ŠÁRKOU,,,,,,
1319,Restaurace Národní kavárna,Národní kavárna,"Národní 339/11, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.08172080000001, 'lng': 14.4162134}",4.3,931.0,773 824 585
1320,Restaurace Nordsee,,,,,,
1321,Restaurace Nordsee,,,,,,
1322,Restaurace Nostalgia,,,,,,
1323,"Restaurace Nostalgie, s.r.o.",Nostalgie,"Rybná 650/3, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0880556, 'lng': 14.4261111}",4.2,623.0,222 316 164
1324,Restaurace Nota Bene,Nota Bene,"Mikovcova 4, 120 00 Praha 2-Vinohrady, Czechia","{'lat': 50.0764092, 'lng': 14.4308072}",4.4,506.0,721 299 131
1325,Restaurace Nuance,,,,,,
1326,Restaurace Obzor,Šenkýrna Obzor,"4, Papírníkova 628, 142 00 Praha 4, Czechia","{'lat': 50.00884300000001, 'lng': 14.4549821}",4.2,703.0,725 348 902
1327,Restaurace Oceán areál ZOO Praha,233 420,"233 420, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
1328,RESTAURACE OLYMP,,,,,,
1329,RESTAURACE ORION,,,,,,
1330,RESTAURACE PALACKÉHO 15,,,,,,
1331,RESTAURACE PALEMEX - SUPERMARKET CHRPA,Chrpasport,"Krejnická 2021, 148 00 Praha 11-Chodov, Czechia","{'lat': 50.03279469999999, 'lng': 14.481964}",3.0,1.0,272 927 332
1332,RESTAURACE PALFFY PALÁC CLUB,522,"522, Czechia","{'lat': 50.2611965, 'lng': 14.4225366}",,,
1333,RESTAURACE PAPRIKA,,,,,,
1334,Restaurace Pastař - Jan Blažek Čerstvá pasta,Pastař,"Malostranské nábř. 1, 118 00 Praha 1-Malá Strana, Czechia","{'lat': 50.08145820000001, 'lng': 14.4078205}",4.5,1335.0,777 009 108
1335,RESTAURACE PASTIČKA,,,,,,
1336,RESTAURACE PEKING,,,,,,
1337,Restaurace Pepe Lopez,,,,,,
1338,Restaurace Peperoncino,233 312,"233 312, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
1339,RESTAURACE PĚT PENĚZ,Restaurace Pět peněz,"30, Dělnická 775, 170 00 Praha 7-Holešovice, Czechia","{'lat': 50.10311979999999, 'lng': 14.4491009}",4.3,919.0,220 808 376
1340,RESTAURACE PIVNÍ ZÁLEŽITOST,,,,,,
1341,Restaurace Plzeňka,Restaurace Plzenka,"Truhlářská 1520/23, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.09074050000001, 'lng': 14.4302899}",4.3,127.0,604 569 759
1342,RESTAURACE POD LIPAMI,,,,,,
1343,RESTAURACE POD LOUBÍM,233 326,"233 326, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
1344,Restaurace Pod Pankrácem,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
1345,RESTAURACE POD SLAVÍNEM S.R.O.,,,,,,
1346,RESTAURACE POD SMETANKOU,,,,,,
1347,RESTAURACE POD VIKTORKOU,,,,,,
