,ZS_name,name,formatted_address,location,rating,user_ratings_total,formatted_phone_number
902,NA CIKÁNCE,Na Cikánce,"5, U Cikánky 76, 155 00 Praha 13, Czechia","{'lat': 50.0515594, 'lng': 14.32417}",4.2,106.0,235 512 743
903,Na Kačabce - Putyka,Na Kačabce,"12, Chalupnická 82, 102 00 Praha 15-Hostivař, Czechia","{'lat': 50.0483449, 'lng': 14.5244873}",4.5,1404.0,603 217 934
904,Na Kopci,"420, 102 251","420, 102 251, 252 02 Jíloviště, Czechia","{'lat': 49.9425361, 'lng': 14.3922371}",,,
905,NA PEKAŘCE,,,,,,
906,"Nahoře a dole, s.r.o.",,,,,,
907,Národní nalévárna,,,,,,
908,NAŠE MASO,,,,,,
909,"NAU Ngon, s.r.o.",,,,,,
910,"Navigante, s.r.o.",,,,,,
911,NEBO,,,,,,
912,Nejen Bistro,,,,,,
913,Neklid Restaurant,Neklid restaurant,"Ruská 568/34, 101 00 Praha 10-Vršovice, Czechia","{'lat': 50.0721654, 'lng': 14.4551382}",4.6,971.0,777 718 787
914,"NEW ASIA FOOD & DECO, s.r.o.","New Asia Food & Deco, S.r.o.","Pilská 6, 198 00 Praha 14, Czechia","{'lat': 50.0916853, 'lng': 14.561908}",,,281 930 940
915,"NEW City, s.r.o.",,,,,,
916,"New Salon, s.r.o.",,,,,,
